frame	NSSD	NCCOEFF	SemanticChange	GeometricChange	VoL	Context	PoseNovelity
seq09_02/frame-000000 0.571 0.531 0.312 296.868 72.369 1.58 316.253
seq09_02/frame-000010 0.572 0.531 0.315 298.317 73.172 1.572 317.699
seq09_02/frame-000020 0.571 0.531 0.314 298.363 67.618 1.583 317.713
seq09_02/frame-000030 0.57 0.532 0.316 299.22 76.939 1.581 318.809
seq09_02/frame-000040 0.569 0.532 0.316 299.087 75.751 1.588 318.298
seq09_02/frame-000050 0.579 0.531 0.317 298.007 65.954 1.518 313.685
seq09_02/frame-000060 0.604 0.54 0.326 291.808 26.389 1.352 304.662
seq09_02/frame-000070 0.858 0.593 0.43 282.29 12.391 1.011 297.587
seq09_02/frame-000080 1.0 0.636 0.461 267.538 11.352 0.934 291.365
seq09_02/frame-000090 1.0 0.667 0.506 249.985 7.906 0.871 294.024
seq09_02/frame-000100 1.0 0.69 0.56 231.159 7.491 0.836 279.569
seq09_02/frame-000110 1.0 0.657 0.601 217.292 6.877 1.692 276.948
seq09_02/frame-000120 1.0 0.583 0.575 221.51 9.385 1.992 286.199
seq09_02/frame-000130 1.0 0.568 0.568 220.599 9.022 2.043 290.292
seq09_02/frame-000140 1.0 0.574 0.564 219.254 9.795 2.036 290.669
seq09_02/frame-000150 1.0 0.582 0.565 218.967 10.367 2.03 289.377
seq09_02/frame-000160 1.0 0.591 0.572 219.999 10.367 2.004 286.932
seq09_02/frame-000170 1.0 0.595 0.573 219.732 10.201 2.006 286.744
seq09_02/frame-000180 1.0 0.599 0.576 220.195 10.28 1.955 286.527
seq09_02/frame-000190 1.0 0.542 0.478 196.738 6.189 2.112 275.368
seq09_02/frame-000200 1.0 0.467 0.448 166.608 6.774 2.467 282.626
seq09_02/frame-000210 1.0 0.57 0.39 117.619 6.739 3.117 194.216
seq09_02/frame-000220 1.0 0.585 0.322 95.647 7.928 3.072 253.178
seq09_02/frame-000230 1.0 0.605 0.31 74.856 11.147 1.503 262.553
seq09_02/frame-000240 1.0 0.673 0.282 72.995 13.136 1.604 256.763
seq09_02/frame-000250 1.0 0.609 0.205 75.267 10.838 1.739 215.342
seq09_02/frame-000260 1.0 0.333 0.088 73.494 9.678 1.947 189.237
seq09_02/frame-000270 0.841 0.051 0.069 91.335 11.567 2.296 150.054
seq09_02/frame-000280 0.688 0.181 0.095 130.06 21.956 2.689 217.601
seq09_02/frame-000290 0.655 0.15 0.129 150.483 36.364 3.181 209.254
seq09_02/frame-000300 0.619 0.149 0.15 155.386 157.789 3.603 163.824
seq09_02/frame-000310 0.584 0.179 0.186 171.651 143.318 4.02 190.093
seq09_02/frame-000320 0.568 0.239 0.214 184.323 199.801 4.047 228.73
seq09_02/frame-000330 0.574 0.433 0.284 218.538 110.096 4.007 231.39
seq09_02/frame-000340 0.679 0.519 0.293 201.552 22.281 3.732 222.95
seq09_02/frame-000350 0.74 0.713 0.237 173.384 16.869 3.442 244.558
seq09_02/frame-000360 0.886 0.682 0.209 150.75 7.224 3.256 190.371
seq09_02/frame-000370 1.0 0.632 0.19 117.425 7.176 3.132 231.948
seq09_02/frame-000380 1.0 0.715 0.138 77.082 7.759 3.264 189.51
seq09_02/frame-000390 1.0 0.777 0.138 74.762 9.413 3.528 172.182
seq09_02/frame-000400 1.0 0.789 0.143 72.797 8.648 3.705 173.66
seq09_02/frame-000410 1.0 0.79 0.15 72.285 11.827 3.882 178.555
seq09_02/frame-000420 1.0 0.786 0.136 74.797 8.746 4.223 179.184
seq09_02/frame-000430 1.0 0.77 0.126 78.4 8.31 5.08 120.192
seq09_02/frame-000440 1.0 0.703 0.125 102.429 9.107 6.219 161.183
seq09_02/frame-000450 1.0 0.509 0.141 128.402 15.403 7.3 210.617
seq09_02/frame-000460 1.0 0.38 0.173 176.143 23.486 9.643 268.263
seq09_02/frame-000470 1.0 0.381 0.199 257.229 85.089 10.475 272.365
seq09_02/frame-000480 1.0 0.339 0.218 304.128 223.549 11.3 264.804
seq09_02/frame-000490 1.0 0.338 0.24 381.826 389.203 11.772 230.566
seq09_02/frame-000500 1.0 0.304 0.268 452.649 341.422 12.395 242.494
seq09_02/frame-000510 1.0 0.256 0.296 497.577 783.781 12.29 271.18
seq09_02/frame-000520 1.0 0.239 0.216 446.947 733.315 14.377 244.566
seq09_02/frame-000530 1.0 0.322 0.201 341.365 851.872 12.799 190.167
seq09_02/frame-000540 1.0 0.4 0.18 255.611 803.996 12.652 177.163
seq09_02/frame-000550 1.0 0.405 0.147 180.922 488.6 11.681 167.594
seq09_02/frame-000560 1.0 0.367 0.113 130.232 189.766 9.272 195.705
seq09_02/frame-000570 1.0 0.397 0.126 128.514 74.504 6.921 163.125
seq09_02/frame-000580 1.0 0.498 0.13 116.471 22.755 4.831 98.0284
seq09_02/frame-000590 1.0 0.571 0.14 115.986 32.255 4.136 108.087
seq09_02/frame-000600 1.0 0.657 0.124 94.765 10.267 3.626 179.882
seq09_02/frame-000610 1.0 0.75 0.136 84.221 7.481 3.032 199.736
seq09_02/frame-000620 1.0 0.772 0.131 64.183 6.525 2.608 143.548
seq09_02/frame-000630 1.0 0.544 0.116 54.553 6.152 2.681 131.597
seq09_02/frame-000640 1.0 0.618 0.107 62.106 6.327 3.353 124.041
seq09_02/frame-000650 1.0 0.702 0.125 67.368 6.204 4.016 115.181
seq09_02/frame-000660 1.0 0.731 0.135 72.694 6.412 4.192 129.315
seq09_02/frame-000670 1.0 0.755 0.123 74.965 6.041 4.258 163.041
seq09_02/frame-000680 1.0 0.779 0.132 78.661 7.035 4.477 159.457
seq09_02/frame-000690 1.0 0.759 0.136 75.475 5.494 4.134 146.892
seq09_02/frame-000700 1.0 0.735 0.148 82.656 5.856 4.303 159.258
seq09_02/frame-000710 1.0 0.709 0.145 94.714 5.573 4.569 169.684
seq09_02/frame-000720 1.0 0.682 0.131 92.911 6.145 5.0 186.959
seq09_02/frame-000730 1.0 0.654 0.109 74.237 5.576 5.452 201.276
seq09_02/frame-000740 1.0 0.618 0.104 78.318 6.882 5.823 206.347
seq09_02/frame-000750 1.0 0.662 0.121 93.577 7.484 5.594 225.217
seq09_02/frame-000760 1.0 0.533 0.111 67.896 6.144 4.433 274.179
seq09_02/frame-000770 1.0 0.575 0.153 68.049 6.183 5.49 212.148
seq09_02/frame-000780 1.0 0.53 0.165 72.14 7.281 4.239 233.22
