frame	NSSD	NCCOEFF	SemanticChange	GeometricChange	VoL	Context	PoseNovelity
seq03_02/frame-000000 0.118 0.618 0.369 82.294 23.309 8.605 218.341
seq03_02/frame-000010 0.109 0.714 0.391 84.988 24.217 9.491 203.938
seq03_02/frame-000020 0.097 0.741 0.4 80.694 26.494 10.029 185.753
seq03_02/frame-000030 0.082 0.744 0.344 67.702 24.153 10.108 225.899
seq03_02/frame-000040 0.076 0.766 0.24 56.877 24.995 9.079 220.756
seq03_02/frame-000050 0.074 0.741 0.284 55.515 32.489 9.119 256.347
seq03_02/frame-000060 0.061 0.787 0.221 47.069 31.713 7.902 284.25
seq03_02/frame-000070 0.071 0.744 0.288 59.311 25.123 7.3 264.734
seq03_02/frame-000080 0.097 0.68 0.301 74.536 24.192 6.672 275.877
seq03_02/frame-000090 0.095 0.67 0.308 76.107 20.993 5.999 312.608
seq03_02/frame-000100 0.089 0.686 0.338 79.844 19.242 5.769 299.35
seq03_02/frame-000110 0.075 0.733 0.314 79.993 23.3 5.024 312.782
seq03_02/frame-000120 0.072 0.772 0.333 88.715 23.791 5.08 330.463
seq03_02/frame-000130 0.094 0.686 0.329 95.431 22.068 4.791 317.569
seq03_02/frame-000140 0.083 0.693 0.315 102.678 16.815 4.49 316.966
seq03_02/frame-000150 0.086 0.583 0.333 108.479 24.058 3.947 260.266
seq03_02/frame-000160 0.107 0.496 0.274 113.83 17.137 3.775 216.219
seq03_02/frame-000170 0.136 0.413 0.167 96.688 16.282 3.819 174.779
seq03_02/frame-000180 0.181 0.336 0.102 78.393 19.847 3.65 155.091
seq03_02/frame-000190 0.197 0.394 0.089 52.259 16.411 3.149 185.208
seq03_02/frame-000200 0.224 0.336 0.119 47.972 16.47 3.092 167.427
seq03_02/frame-000210 0.301 0.338 0.245 50.292 13.443 3.149 246.354
seq03_02/frame-000220 0.373 0.371 0.251 55.903 15.169 5.075 179.786
seq03_02/frame-000230 0.386 0.369 0.234 57.95 16.674 6.122 190.854
seq03_02/frame-000240 0.389 0.363 0.237 54.934 22.171 5.648 210.076
seq03_02/frame-000250 0.439 0.293 0.264 55.12 16.857 4.758 250.817
seq03_02/frame-000260 0.487 0.23 0.287 54.563 17.538 3.765 249.976
seq03_02/frame-000270 0.527 0.173 0.304 55.663 21.512 3.28 219.137
seq03_02/frame-000280 0.569 0.144 0.317 56.394 22.408 3.718 227.128
seq03_02/frame-000290 0.627 0.176 0.379 60.682 14.957 4.4 195.46
seq03_02/frame-000300 0.577 0.281 0.447 67.728 11.313 4.216 130.325
seq03_02/frame-000310 0.469 0.367 0.456 70.316 15.834 4.278 113.964
seq03_02/frame-000320 0.504 0.246 0.463 68.053 12.081 3.474 110.252
seq03_02/frame-000330 0.515 0.213 0.417 63.347 13.071 3.059 129.069
seq03_02/frame-000340 0.503 0.222 0.295 56.732 12.096 2.51 148.23
seq03_02/frame-000350 0.246 0.43 0.165 48.515 13.54 1.23 140.199
seq03_02/frame-000360 0.174 0.501 0.101 46.993 11.878 1.061 106.397
seq03_02/frame-000370 0.117 0.598 0.065 44.702 29.198 0.87 78.8253
seq03_02/frame-000380 0.122 0.564 0.06 47.158 12.569 0.761 49.3827
seq03_02/frame-000390 0.132 0.563 0.066 45.491 10.698 0.679 116.272
seq03_02/frame-000400 0.165 0.562 0.091 41.321 12.012 0.695 246.781
seq03_02/frame-000410 0.276 0.45 0.144 39.018 15.714 1.026 277.394
seq03_02/frame-000420 0.493 0.268 0.259 46.974 14.3 2.123 289.956
seq03_02/frame-000430 0.675 0.201 0.419 63.576 13.146 4.48 288.904
seq03_02/frame-000440 0.647 0.328 0.522 75.654 13.465 5.846 230.583
seq03_02/frame-000450 0.609 0.367 0.492 76.826 15.358 4.697 201.952
seq03_02/frame-000460 0.516 0.402 0.441 78.694 13.662 5.293 282.223
seq03_02/frame-000470 0.446 0.475 0.369 75.477 17.473 6.257 272.408
seq03_02/frame-000480 0.554 0.435 0.355 69.994 16.468 5.57 284.277
seq03_02/frame-000490 0.578 0.438 0.344 65.48 15.475 4.311 292.102
seq03_02/frame-000500 0.556 0.377 0.383 61.526 30.579 3.245 270.083
seq03_02/frame-000510 0.517 0.25 0.372 61.477 27.318 2.659 251.238
seq03_02/frame-000520 0.504 0.271 0.34 63.399 25.161 2.181 287.935
seq03_02/frame-000530 0.456 0.289 0.335 57.552 13.008 1.776 249.828
seq03_02/frame-000540 0.355 0.263 0.299 51.907 15.808 1.52 210.94
seq03_02/frame-000550 0.341 0.261 0.229 50.605 32.407 1.668 203.601
seq03_02/frame-000560 0.321 0.348 0.22 53.118 13.722 1.701 168.141
seq03_02/frame-000570 0.365 0.399 0.205 60.995 23.923 1.775 129.384
seq03_02/frame-000580 0.355 0.411 0.209 61.71 25.496 1.91 105.561
seq03_02/frame-000590 0.331 0.468 0.2 59.099 20.498 2.429 138.69
seq03_02/frame-000600 0.343 0.504 0.18 56.487 25.681 2.672 123.747
seq03_02/frame-000610 0.341 0.51 0.19 64.328 18.285 4.043 100.94
seq03_02/frame-000620 0.306 0.532 0.236 74.924 25.395 5.06 90.289
seq03_02/frame-000630 0.297 0.596 0.238 73.645 15.814 5.292 86.5271
seq03_02/frame-000640 0.306 0.655 0.153 56.366 18.568 4.293 84.3241
seq03_02/frame-000650 0.367 0.609 0.146 52.698 22.619 3.521 98.5737
seq03_02/frame-000660 0.426 0.591 0.141 51.014 16.897 3.122 93.8616
seq03_02/frame-000670 0.573 0.522 0.129 46.746 15.658 2.005 79.5989
seq03_02/frame-000680 0.726 0.489 0.146 50.333 24.378 0.933 67.722
seq03_02/frame-000690 0.815 0.502 0.155 54.014 45.815 0.781 99.4579
seq03_02/frame-000700 0.865 0.511 0.17 57.613 19.415 0.638 117.792
seq03_02/frame-000710 0.964 0.491 0.18 63.039 13.063 0.549 119.664
seq03_02/frame-000720 1.0 0.45 0.146 66.168 13.014 0.535 110.268
seq03_02/frame-000730 1.0 0.426 0.14 68.677 17.32 0.533 156.019
seq03_02/frame-000740 1.0 0.373 0.204 78.443 14.887 0.499 178.552
seq03_02/frame-000750 1.0 0.379 0.214 79.692 22.481 0.474 189.651
seq03_02/frame-000760 0.961 0.481 0.229 54.886 12.639 0.312 96.2256
seq03_02/frame-000770 0.925 0.516 0.25 53.775 17.472 0.239 100.166
seq03_02/frame-000780 0.999 0.507 0.262 54.513 12.652 0.162 75.7031
seq03_02/frame-000790 1.0 0.543 0.252 47.422 14.111 0.111 32.0937
seq03_02/frame-000800 1.0 0.536 0.261 48.039 11.12 0.108 30.2972
seq03_02/frame-000810 0.918 0.412 0.269 49.512 10.468 0.117 112.903
seq03_02/frame-000820 0.536 0.509 0.217 38.148 12.666 0.095 84.4137
seq03_02/frame-000830 0.311 0.556 0.179 37.87 21.21 0.201 108.586
seq03_02/frame-000840 0.203 0.633 0.208 55.227 22.192 1.14 164.594
seq03_02/frame-000850 0.145 0.567 0.231 62.499 21.391 2.89 86.4138
seq03_02/frame-000860 0.16 0.57 0.358 87.727 14.862 5.226 160.988
seq03_02/frame-000870 0.134 0.716 0.375 87.42 24.076 7.127 160.191
seq03_02/frame-000880 0.17 0.648 0.297 86.561 21.4 7.564 149.416
seq03_02/frame-000890 0.17 0.661 0.225 75.132 27.008 6.827 127.942
seq03_02/frame-000900 0.158 0.651 0.264 85.967 24.943 6.612 104.18
seq03_02/frame-000910 0.143 0.668 0.235 84.196 24.342 6.21 77.8827
seq03_02/frame-000920 0.155 0.706 0.22 96.867 20.093 5.403 62.3809
seq03_02/frame-000930 0.247 0.77 0.167 116.65 12.468 3.72 90.5709
seq03_02/frame-000940 0.316 0.785 0.115 149.49 11.551 2.747 103.788
seq03_02/frame-000950 0.384 0.8 0.13 141.478 9.373 1.31 82.3837
seq03_02/frame-000960 0.258 0.838 0.015 35.41 9.859 0.063 223.719
seq03_02/frame-000970 0.327 0.816 0.014 35.706 9.804 0.054 209.688
seq03_02/frame-000980 0.393 0.814 0.064 39.236 8.228 0.079 157.188
seq03_02/frame-000990 0.422 0.819 0.106 95.233 9.217 0.627 154.522
seq03_02/frame-001000 0.47 0.803 0.14 80.791 12.585 0.806 93.674
seq03_02/frame-001010 0.543 0.743 0.161 76.041 13.814 0.673 106.126
seq03_02/frame-001020 0.581 0.636 0.156 70.096 16.078 0.579 70.4963
seq03_02/frame-001030 0.677 0.55 0.149 65.997 13.973 0.594 58.6071
seq03_02/frame-001040 0.798 0.453 0.13 57.908 13.024 0.584 98.4081
seq03_02/frame-001050 0.857 0.406 0.128 56.442 18.883 0.566 114.044
seq03_02/frame-001060 0.719 0.476 0.136 59.829 13.315 0.62 75.4826
seq03_02/frame-001070 0.742 0.461 0.139 59.365 13.62 0.575 112.031
seq03_02/frame-001080 0.827 0.455 0.148 58.139 19.362 0.478 107.172
seq03_02/frame-001090 0.706 0.453 0.146 62.097 10.291 0.331 134.278
seq03_02/frame-001100 0.704 0.232 0.109 82.996 12.645 0.333 210.854
