frame	NSSD	NCCOEFF	SemanticChange	GeometricChange	VoL	Context	PoseNovelity
seq05_02/frame-000000 0.33 -0.368 0.002 27.413 31.541 0.264 283.877
seq05_02/frame-000010 0.323 -0.32 0.028 26.979 33.935 0.391 413.791
seq05_02/frame-000020 0.531 -0.091 0.041 33.808 37.977 0.539 495.377
seq05_02/frame-000030 0.783 0.031 0.058 46.427 42.761 0.83 725.316
seq05_02/frame-000040 0.683 -0.094 0.053 45.264 21.403 1.018 1028.76
seq05_02/frame-000050 0.542 -0.05 0.076 44.215 28.395 1.138 1029.11
seq05_02/frame-000060 0.424 0.004 0.104 50.253 12.92 1.385 1041.14
seq05_02/frame-000070 0.246 0.381 0.13 58.815 13.439 1.659 1014.9
seq05_02/frame-000080 0.238 0.466 0.139 63.094 14.275 1.864 971.742
seq05_02/frame-000090 0.212 0.496 0.114 67.75 11.862 1.972 873.647
seq05_02/frame-000100 0.21 0.475 0.096 73.03 11.575 1.756 784.67
seq05_02/frame-000110 0.162 0.635 0.131 80.081 11.591 1.47 757.456
seq05_02/frame-000120 0.227 0.577 0.193 94.801 14.801 1.058 710.102
seq05_02/frame-000130 0.224 0.674 0.215 80.89 13.396 0.816 659.28
seq05_02/frame-000140 0.227 0.692 0.201 77.15 18.096 0.849 639.565
seq05_02/frame-000150 0.25 0.635 0.143 70.472 11.786 0.932 586.488
seq05_02/frame-000160 0.275 0.373 0.081 73.838 13.972 1.04 599.055
seq05_02/frame-000170 0.155 0.601 0.149 90.016 14.525 1.378 694.665
seq05_02/frame-000180 0.123 0.549 0.111 73.877 11.515 1.655 819.738
seq05_02/frame-000190 0.149 0.385 0.072 68.961 11.417 1.642 803.144
seq05_02/frame-000200 0.128 0.507 0.08 68.922 13.299 1.878 759.751
seq05_02/frame-000210 0.14 0.506 0.079 74.313 15.766 1.956 785.324
seq05_02/frame-000220 0.167 0.565 0.114 80.533 13.419 2.296 803.87
seq05_02/frame-000230 0.321 0.457 0.168 85.351 22.488 2.395 737.025
seq05_02/frame-000240 0.356 0.538 0.176 92.216 21.184 2.394 642.948
seq05_02/frame-000250 0.459 0.401 0.144 89.287 24.888 2.242 593.139
seq05_02/frame-000260 0.508 0.324 0.116 74.374 26.46 1.787 529.416
seq05_02/frame-000270 0.534 0.269 0.156 62.625 26.043 1.341 481.672
seq05_02/frame-000280 0.477 0.359 0.139 48.67 17.812 0.753 400.574
seq05_02/frame-000290 0.364 0.621 0.112 28.635 26.172 0.219 366.73
seq05_02/frame-000300 0.355 0.583 0.098 33.184 51.848 0.288 368.82
seq05_02/frame-000310 0.377 0.427 0.087 36.056 50.306 0.464 367.484
seq05_02/frame-000320 0.413 0.438 0.078 42.838 75.167 0.799 241.596
seq05_02/frame-000330 0.396 0.368 0.087 46.391 50.352 0.956 226.04
seq05_02/frame-000340 0.342 0.441 0.089 47.099 94.97 0.939 198.532
seq05_02/frame-000350 0.46 0.396 0.088 52.131 35.625 1.712 151.297
seq05_02/frame-000360 0.332 0.311 0.087 28.132 41.147 0.74 237.272
seq05_02/frame-000370 0.376 -0.269 0.059 24.342 68.036 0.625 366.407
seq05_02/frame-000380 0.431 -0.492 0.055 26.044 59.631 0.613 429.646
seq05_02/frame-000390 0.469 -0.589 0.056 28.844 37.342 0.52 459.573
seq05_02/frame-000400 0.609 -0.53 0.054 33.164 60.888 0.433 627.307
seq05_02/frame-000410 0.818 -0.28 0.089 44.72 56.663 0.469 938.055
seq05_02/frame-000420 0.62 -0.07 0.118 49.737 47.545 0.526 1052.23
seq05_02/frame-000430 0.217 0.29 0.207 47.402 11.853 0.452 1040.73
seq05_02/frame-000440 0.249 0.322 0.187 41.617 9.441 0.447 1009.71
seq05_02/frame-000450 0.3 0.457 0.184 41.891 8.835 0.49 1007.58
seq05_02/frame-000460 0.217 0.69 0.184 40.686 7.789 0.509 998.27
seq05_02/frame-000470 0.071 0.936 0.169 46.536 7.272 0.541 983.978
seq05_02/frame-000480 0.078 0.926 0.16 50.598 8.395 0.589 945.44
seq05_02/frame-000490 0.099 0.901 0.136 55.095 11.654 0.686 898.476
seq05_02/frame-000500 0.18 0.82 0.1 54.938 7.342 0.87 872.414
seq05_02/frame-000510 0.402 0.616 0.083 55.433 13.691 1.02 893.738
seq05_02/frame-000520 0.178 0.854 0.092 57.81 8.178 1.168 947.984
seq05_02/frame-000530 0.117 0.877 0.108 59.422 9.551 1.148 1009.42
seq05_02/frame-000540 0.186 0.743 0.119 72.46 11.605 1.288 884.382
seq05_02/frame-000550 0.207 0.637 0.167 82.042 16.916 1.184 738.581
seq05_02/frame-000560 0.333 0.624 0.175 85.982 17.404 0.952 666.375
seq05_02/frame-000570 0.405 0.747 0.153 72.231 17.42 0.893 631.15
seq05_02/frame-000580 0.54 0.755 0.143 63.611 14.306 0.852 547.778
